Key,ENG,JP
KActivate,Activate,オン
KDeactivate,Deactivate,オフ
KScatter,Scatter,散布
KPlace,Place,配置
KDelete,Delete,削除
KSnap,Snap,スナップ
KRadius,Radius,半径
KSpawnCount,Spawn Count,生成数
KMinSpacing,Min Spacing,最小間隔
KHeightOffset,Height Offset,高さオフセット
KPrefab,Prefab,プレハブ
KRotationOffset,Rotation Offset,回転オフセット
KRootRotation,Keep Root Rotation,ルート回転保持
KRandRotation,Random Rotation,ランダム回転
KEulerAngle,Euler Angle,オイラー角
KRandScale,Random Scale,ランダムスケール
KMinScale,Min Scale,最小スケール
KMaxScale,Max Scale,最大スケール
KNotPrefabError,Object must be an instance of a prefab,オブジェクトはプレハブのインスタンスである必要があります
KNotOuterMostPrefabError,Object must be the outer most prefab,オブジェクトは一番外側のプレハブである必要があります
KAdvancedSetting,Advanced Setting,詳細設定
KRadiusColor,Circle Color,円の色
KTolerance,Scatter Height Tolerance,散布高さの許容度
KScatter,Scatter,散布
KPlace,Place,配置
KDelete,Delete,削除
KSnap,Snap,スナップ
KRandSetting,Randomness Setting,ランダム要素設定
KAlignWithWorld,Align With World Axis,ワールド軸に合わせる
KRandHeight,Random Height,ランダム高さ
KMinHeight,Min Height,最小高さ
KMaxHeight,Max Height,最大高さ
